	Pinyin	Definition	Radical	Stroke count	HSK level	Frequency rank
的	de	possessive, adjectival suffix	白	8	1	1
一	yī	one; a, an; alone	一	1	1	2
是	shì	indeed, yes, right; to be; demonstrative pronoun, this, that	日	9	1	3
不	bù	no, not; un-; negative prefix	一	4	1	4
了	le	to finish; particle of completed action	亅	2	1	5
在	zài	be at, in, on; consist in, rest	土	6	1	6
人	rén	man; people; mankind; someone else	人	2	1	7
有	yǒu	have, own, possess; exist	月	6	1	8
我	wǒ	our, us, i, me, my, we	戈	7	1	9
他	tā	other, another; he, she, it	人	5	1	10
这	zhè	this, the, here	辵	7	1	11
个	gè	numerary adjunct, piece; single	丨	3	1	12
们	men	adjunct pronoun indicate plural	人	5	1	13
中	zhōng	central; center, middle; in the midst of; hit (target); attain	丨	4	1	14
来	lái	come, coming; return, returning	木	7	1	15
上	shàng	top; superior, highest; go up, send up	一	3	1	16
大	dà	big, great, vast, large, high	大	3	1	17
和	hé	harmony, peace; peaceful, calm	口	8	1	19
国	guó	nation, country, nation-state	囗	8	1	20
说	shuō	speak, say, talk; scold, upbraid	言	9	1	24
时	shí	time, season; era, age, period	日	7	1	25
出	chū	go out, send out; stand; produce	凵	5	1	28
会	huì	assemble, meet together; meeting	人	6	1	29
你	nǐ	you, second person pronoun	人	7	1	32
对	duì	correct, right; facing, opposed	寸	5	1	33
生	shēng	life, living, lifetime; birth	生	5	1	34
能	néng	to be able; can, permitted to; ability	肉	10	1	35
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	子	3	1	37
那	nà	that, that one, those	邑	6	1	38
下	xià	under, underneath, below; down; inferior; bring down	一	3	1	42
年	nián		干	6	1	45
后	hòu	queen, empress, sovereign; (simp. for後) behind, rear, after	口	6	1	48
作	zuò	make; work; compose, write; act, perform	人	7	1	49
里	lǐ	unit of distance; village; lane	里	7	1	50
家	jiā	house, home, residence; family	宀	10	1	56
多	duō	much, many; more than, over	夕	6	1	61
么	me	interrogative particle; repetition of a tune small; tender	丿	3	1	63
去	qù	go away, leave, depart	厶	5	1	64
学	xué	learning, knowledge; school	子	8	1	66
都	dōu	metropolis, capital; all, the whole; elegant, refined	邑	10	1	68
同	tóng	same, similar; together with	口	6	1	69
现	xiàn	appear, manifest, become visible	玉	8	1	70
没	méi	not, have not, none; drown, sink	水	7	1	72
面	miàn	face; surface; plane; side, dimension	面	9	1	74
起	qǐ	rise, stand up; go up; begin	走	10	1	75
看	kàn	look, see; examine, scrutinize	目	9	1	76
天	tiān	sky, heaven; god, celestial	大	4	1	78
分	fēn	divide; small unit of time etc.	刀	4	1	79
好	hǎo	good, excellent, fine; well	女	6	1	82
小	xiǎo	small, tiny, insignificant	小	3	1	83
些	xiē	little, few; rather, somewhat	二	8	1	86
样	yàng	shape, form, pattern, style	木	10	1	88
她	tā	she, her	女	6	1	91
本	běn	root, origin, source; basis	木	5	1	92
前	qián	in front, forward; preceding	刀	9	1	93
开	kāi	open; initiate, begin, start	廾	4	1	94
想	xiǎng	think, speculate, plan, consider	心	13	1	99
机	jī	desk; machine; moment	木	6	1	111
十	shí	ten, tenth; complete; perfect	十	2	1	112
工	gōng	labor, work; worker, laborer	工	3	1	118
明	míng	bright, light, brilliant; clear	日	8	1	121
三	sān	three	一	3	1	125
关	guān	frontier pass; close; relation	八	6	1	127
点	diǎn	dot, speck, spot; point, degree	火	9	1	128
高	gāo	high, tall; lofty, elevated	高	10	1	134
很	hěn	very, quite, much	彳	9	1	138
见	jiàn	see, observe, behold; perceive	見	4	1	153
什	shén	file of ten soldiers; mixed, miscellaneous	人	4	1	156
二	èr	two; twice	二	2	1	157
果	guǒ	fruit; result	木	8	1	165
